Artist + song,Track ID,reducedGenre
Anouk & Douwe Bob - Hold me,4OXvpSxeoKVrQ7B3vdyCug,Folk/Acoustic
Ellie Goulding - Love me like you do,3zHq9ouUJQFQRf3cm1rRLu,Pop
Flo Rida featuring Sage The Gemini and Lookas - G.D.F.R.,26rdOwwjC2UnweK3xeS58u,Pop
David Guetta feat. Emeli Sandé - What I did for love,1YRjRHdl0aEtzHEn1uGi8k,Pop
Gavin James - The book of love,0XJxjZfdnNBi8koYmEuk1z,Pop
Years & Years - King,3AeicLnm55RqcXGBKYQolM,Pop
Maroon 5 - Sugar,2iuZJX9X9P0GKaE93xcPjk,Pop
TheWeeknd - Earned it,1cQ3LIkZE68pMSnPhZWXLu,Pop
DJ Snake & AlunaGeorge - You know you like it,57kR5SniQIbsbVoIjjOUDa,Pop
Pitbull & Ne-Yo - Time of our lives,2bJvI42r8EF3wxjOuDav4r,Pop
Lost Frequencies - Are you with me,4255amV4enzl28KAn16rUO,Electronic
Causes - Teach me how to dance with you,7aYwpbYXKVvQtEXqZrqHIh,Pop
Sam Smith - Like I can,2TeLIzFBe3hxkPR5FIQZut,Pop
Ariana Grande - One last time,7xoUc6faLbCqZO6fQEYprd,Pop
Bakermat - Teach me,2Zoype3LVqYjOtMGMH2qlb,Electronic
Martin Solveig & GTA - Intoxicated,2RhKxrhti1jd1Krzh968Cb,Electronic
Seinabo Sey - Younger (Kygo remix),7vHshinTU8161w69EPbabY,Pop
Taylor Swift - Style,1hjRhYpWyqDpPahmSlUTlc,Pop
Dotan - Hungry,4xqm63jD6sXXbdLrAa09px,Pop
Major Lazer x DJ Snake feat. Mø - Lean on,2YWjW3wwQIBLNhxWKBQd16,Pop
Lunchmoney Lewis - Bills,7rlCeTnjn0plPZkVAcctPZ,Hip Hop
Carly Rae Jepsen - I really like you,2hHLbkatPwOOmrNxTiD41L,Pop
Christine and The Queens - Christine,6tNDVXXaYWsBd3Mqhfelvl,Pop
Mumford & Sons - Believe,6JdkL7SlQXvF5Z02IpRPtP,Folk/Acoustic
Jason Derulo - Want to want me,7oGZAicScQt96OAW4AruYy,Pop
Kenny B - Parijs,4CH8nmzGgqd4sokxN7dacs,Pop
Martin Garrix - Forbidden voices,6EsH66Uto1zwZlDGQ6RokU,Pop
Natalie la Rose featuring Jeremih - Somebody,7ioiB40H9xKs04QtIso2I3,R&B
Calvin Harris feat. Haim - Pray to god,75kMrDKPJJpgEQaXVh7QMB,Pop
Jess Glynne - Hold my hand,1eOJAiCKFuMda0fPRvjcuc,Pop
Tiësto & Kshmr feat Vassy - Secrets,0NIC4unbe5KZOp1d9T7OaF,Electronic
Skrillex and Diplo present Jack Ü (with Justin Bieber) - Where are Ü now,66hayvUbTotekKU3H4ta1f,Electronic
"Flo Rida feat. Robin Thicke & Verdine White - I don't like it, I love it",2S5LNtRVRPbXk01yRQ14sZ,Pop
Axwell & Ingrosso - On my way,5zATs59c3mikRxLK6ODE0p,Electronic
Lil' Kleine & Ronnie Flex - Zeg dat niet,7tkezCQMSHkgkeyj2vOQuw,Hip Hop
Armin van Buuren feat. Mr Probz - Another you,44EbX1Cuwpq3hdnpTHsmfO,Electronic
Kensington - Riddles,1QcwwjyRqLuuP2jt1hrjsG,Rock
Robin Schulz feat. Ilsey - Headlights,0tDC3KJPPu5eonGTtCURpq,Electronic
Listenbee - Save me,4jNM6l3Amnmyy1kNCLcSWL,Electronic
Eva Simons - Policeman,5dv1k1EENIPfsmGoHOrMPc,Pop
James Bay - Let it go,3nnG7AM9QopHVPEuLX3Khk,Pop
Felix Jaehn feat. Jasmine Thompson - Ain't nobody (loves me better),3c8iiZGfEammKJuWTErE5x,Electronic
The Common Linnets - We don't make the wind blow,5YtKy2tfZnYSebdTD8SeHl,Folk/Acoustic
Nice Device - Cool Corona (Could You Be Like E....),6z3duxGQE9bEoDAR1QBWqF,Pop
Gabrielle - Dreams,4rV3AYCf4BBBCkIpyLPwUP,R&B
OMD - Dream Of Me (Based On Love's Theme),6968eg6hORoSy8UNc0BUYZ,Rock
Lisa Stansfield - In All The Right Places - Theme From 'Indecent Proposal',7vsjqFVKyzGmqrpuOEhNcw,R&B
Oleta Adams - I Just Had To Hear Your Voice,0tqXltMBiusDN77CZX2NxY,R&B
RuPaul - Supermodel (You Better Work),36Rpz4MZQhGknLEmTmHr8v,Electronic
Tatjana - Feel Good,5UKGdQHoIhUw1YJX66Up7J,Electronic
Hanny - Dat Moet Echte Liefde Zijn,1FVM7ZqFkR2rAEPhvRAIuk,Pop
Green Jellÿ - Three Little Pigs,6DiPkm7C3LD9XsJWTGPFgv,Metal
Taylor Dayne - Can't Get Enough Of Your Love,39owLj3gqY7XN41PC1WO6Q,Rock
Freddie Mercury - Living On My Own,2VCB1IOc2oLUkat0YCkTZ6,Rock
Janet Jackson - If,0t414ewhjcIiuPVF3QECz2,R&B
Ronald - Transsexueel,5bCxXhWIdBT8RcRojDg9Wz,Pop
Haddaway - Life,5ep8e1ZbIjtUajhcsskkpb,Pop
Klatsch! - Oh Boy,32x2soGJrUVs5j06RTN1Ev,Electronic
Twenty 4 Seven featuring Stay-C and Nance - Slave To The Music,2QzyjSN4WlRHMFfN3r6Ca3,Pop
Whitney Houston - Run To You,6M1M6cRtVkm5d0qTzkSEuK,Pop
Dance 2 Trance - Take A Free Fall,2RhBMZGPNm4hd6gYuUH9Io,Pop
AC/DC - Big Gun,7zjzu90Q4mtNNaE9Ol9Zbv,Rock
Gloria Estefan - Mi Tierra,41LiGcvaTkXHyPjfsxKvWv,Pop
Jazzy Jeff & Fresh Prince - Boom! Shake The Room,5ZDL1Ap2Mwhk5xhmQ41Ei2,Hip Hop
Kim Wilde - If I Can't Have You,7CQwrwJSd2XBYUiGkyQyWC,Rock
Ace Of Base - Happy Nation,7yCF65vpc7sUwPjftI0iFb,Pop
UB40 - Higher Ground,3mDoAC8R1miOQ6Ld1NkAYH,Pop
Robin S - Luv 4 Luv,7qnEcSOw1LDGGDHwDl3OhF,Electronic
Bon Jovi - I'll Sleep When I'm Dead,0UXYMyhcOg1iOaIQ2EKVHE,Rock
Stone Temple Pilots - Plush,3jJZVeExYzVYiV6Y9Fl3DX,Rock
Mariah Carey - Dreamlover,5m9aremBVDMMMAP1tfFCbx,Pop
BeeGees - Paying The Price Of Love,33Z1BRngcyzyEYo3lRQY8H,Rock
Stakka Bo - Here We Go,5RBQdZUyqi91YxY8OIDWad,Rock
Atenna - Zorba The Greek,3OnTmZUcGzHdGpadvxxl2k,World/Traditional
Billy Joel - The River Of Dreams,30qVCFYKBtAENjTIBA8FPZ,Rock
Take That - Pray,1luVSQzb1LtLWxFd9xNDYL,Pop
2 Unlimited - Faces,4XyhzybDGl2ialXvkztmnR,Pop
Sub Sub featuring Melanie Williams - Ain't No Love (Ain't No Use),2e0nVBn2Qj5DPvcLFGfH5W,Rock
Pin-Occhio - Tu Tatuta Tuta Ta,7GasUoBBuMMQPjX54DkYdF,Pop
Bitty McLean - It Keeps Rainin' (Tears From My Eyes),0jsafzwL3ny30py0SNjsvM,Rock
Björk - Human Behaviour,6MYYN85MjM7TARWshRwjyW,Pop
De Jazzpolitie - Ze Zijn Terug,0Vnmb7HVVPp4Cs2fhBm8mc,Rock
Madonna - Rain,3b3PnE1ROIZzILjmCGjVib,Pop
Rage Against The Machine - Killing In The Name,59WN2psjkt1tyaxjspN8fp,Rock
Culture Beat - Got To Get It,7kWmT6l911OFlkhhSV6KlM,Pop
SWV - Right Here/Human Nature,7tUEDtHchueeUJTfEFEhii,R&B
Henk Wijngaard - Beun De Beunhaas,53U2bHNBik2Kf3JdxzqJwC,Rock
Spin Doctors - Little Miss Can't Be Wrong,1uCqIhOePc6hDMG2ijk8sp,Rock
BZN - Desanya,3udzTeMGYff0CRKGd3GQuf,Pop
Urban Cookie Collective - The Key,0Lg4ckCFjFUeyHOeSozcWS,Electronic
Gordon - 't Is Zo Weer Voorbij,7vgc6ShaYXjDAGRRQIUS49,Pop
Aretha Franklin - (You Make Me Feel Like) A Natural Woman,5K09WxKdlkroDyEVyOSySy,R&B
D.J. BoBo - Somebody Dance With Me,7M2wk27EePpYr9TH3uZY1r,Pop
"Earth, Wind & Fire - Sunday Morning",2lnx4mfdXyAYvtVPYXRPcD,R&B
Marianne Weber - Schrijf Me Nooit Geen Mooie Brieven Meer,16C9i27oKQsEDe03cLdEAo,Rock
Soul Asylum - Runaway Train,3TW48DvQ7ChwY1Yy1tkMaP,Rock
Nirvana ((USA)) - Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,Rock
Pet Shop Boys - Go West,5Klo65Y9uouLjNVDV3pqh7,Rock
