Track ID,Artist,Track name,Playlist
2cyJkqB2OYHwWWvKGtrJ0r,Beast In Black,Sweet True Lies,DOMINANT
7fDHYNpNfSJ7h0jDX440Y5,Armin van Buuren,Heading Up High,DOMINANT
0MteK167vtyb6hoJNC3Uz3,Edwyn Collins,A Girl Like You,DOMINANT
6JMOLYqYFrxeq46k0OYfWX,Evermoist,How A Heart Unbreaks,DOMINANT
1xQ6trAsedVPCdbtDAmk0c,Jawsh 685,Savage Love (Laxed - Siren Beat),DOMINANT
1xQhtqil409oMFtEr2uQdn,De Staat,The Fantastic Journey Of The Underground Man,DOMINANT
3KZlVBckUXU3qCmi0h0VHf,RONDÉ,Bright Eyes,DOMINANT
6fR6Z0Vc1K6yQWNUIKjAIR,No Doubt,Underneath It All,DOMINANT
5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),DOMINANT
2XEwnFyQhDBHq6rFEaAOQj,Matthias Reim,Verdammt Ich lieb' dich,DOMINANT
4ReyTz0y3TGkX48wO3Llot,Faith No More,Epic,DOMINANT
4r2f7tTQzMH1NtdWcX0mdt,Katzenjammer,I Will Dance (When I Walk Away),DOMINANT
0QBzMgT7NIeoCYy3sJCof1,Camila Cabello,Bam Bam (feat. Ed Sheeran),DOMINANT
49sGyqfSqURWHIKDbkTfdQ,Emilíana Torrini,Jungle Drum,DOMINANT
2hl6q70unbviGo3g1R7uFx,Luis Fonsi,Échame La Culpa,DOMINANT
3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,DOMINANT
3VzULnaqPKf1deQyZ5W4Ah,Wallows,1980s Horror Film II,DOMINANT
2ixsaeFioXJmMgkkbd4uj1,George Ezra,Budapest,DOMINANT
2tkoSHC3oBy5MqXA20GCQK,Knox,Sneakers,DOMINANT
5acbpqSxvtxCkKA2HPRsEG,5 Seconds of Summer,End Up Here,DOMINANT
7hCNBVRhHzcsRAv0TQnOzq,Bruno Mars,Runaway Baby,DOMINANT
3T74kgnbHw8JqkYGJKD4Tl,Phil Collins,Strangers Like Me,DOMINANT
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,DOMINANT
0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,DOMINANT
0p1hBWPaSxUDTSa32PyhnU,Noah Kahan,She Calls Me Back (with Kacey Musgraves),DOMINANT
3t7MOVjzXyqT7vPw4eNrAV,Meghan Trainor,Been Like This,DOMINANT
2hCc09htDSAQobdmbYWryY,FLEMMING,Alles Op Gevoel,DOMINANT
0k63pQiWvEeyYdV3XJKwCg,Sam Feldt,The Confession,DOMINANT
6ZxPYutGhjLTrcmvcshCa4,Will Smith,Arabian Nights (2019),DOMINANT
0rLMwM9J5DkkucxXByncSZ,Snelle,Ruggengraat,DOMINANT
3GJjiToqnCxTm5rOaqoxdi,ALMA,Chasing Highs,DOMINANT
7Cux0Rc1hY5Pt5T28apnzv,Daveed Diggs,Under the Sea,DOMINANT
5f2TWu6R2YYCJtLQ0fP78H,Will Smith,Friend Like Me,DOMINANT
6CtVJEoNheHMtlDaJoXboX,Chef'Special,Fly Like Me,DOMINANT
1LJtyvOmNOyp0DRpq9of29,Ewan McGregor,Be Our Guest,DOMINANT
3ATpHfZXC3MSSxs1SwVwKk,Johann Sebastian Bach,"Aus der Tiefen rufe ich, Herr, zu dir, BWV 131: Ich harre des Herrn (Chorus)",DOMINANT
01WsR0gHNddO40T6747bXP,Johann Sebastian Bach,"Aus der Tiefen rufe ich, Herr, zu dir, BWV 131: Aria. So du willst (Bass, Soprano)",DOMINANT
3k46NIKNoiEBl1q9SH1yme,Johann Sebastian Bach,"Aus der Tiefen rufe ich, Herr, zu dir, BWV 131: Sinfonia. Aus der Tiefe rufe ich",DOMINANT
2WSsFKtDcdeNRrCuRvvTQI,Johann Sebastian Bach,"Gott ist mein Konig, BWV 71: Das neue Regiment (Chorus)",DOMINANT
